Dataset name,delta_t,tau,L,Baseline MSE,Baseline AUPRC,SDModel MSE,SDModel AUPRC,SCDModel MSE,SCDModel AUPRC,SCDModel coefs,SCDOModel MSE,SCDOModel AUPRC,SCDOModel coefs
SFHH graph,1800,0.1,0.25,1322.4696161827367,0.8151472934070146,1304.087687142695,0.7553737176576383,1228.8308376174382,0.7895964105581739,[6.70630922 0.65938157 0.0566976  0.0734709 ],1252.9621184094174,0.7891989675180895,[6.50976694 0.66091137 0.00770421 0.1841477 ]
Hypertext graph,600,0.5,0.25,60.25215846994535,0.7705610701315279,51.720117015799474,0.7440122895181323,64.19337606567893,0.7541301698194836,[0.80036766 0.61282851 0.16486426 0.13943351],66.96676757617006,0.7551319892200313,[0.68587133 0.60981317 0.05959654 0.33179142]
Hypertext graph,600,0.1,0.25,60.25215846994535,0.7705610701315279,58.34665561500941,0.7285475406555326,57.5322522418443,0.7463719022739335,[0.48368634 0.67785297 0.17935359 0.07970655],58.16896068451977,0.7467024258693271,[0.38958133 0.65082715 0.06654786 0.28311603]
SFHH graph,1800,0.5,0.125,1506.293157478521,0.8366185650340554,1342.33083412876,0.7998765232158802,1512.597816307116,0.8125054509011433,[6.98948507 0.56064023 0.13297367 0.16453528],1510.5974973870645,0.8136170652093967,[7.90525357 0.5783498  0.03463508 0.36766406]
SFHH graph,1800,0.1,0.125,1506.293157478521,0.8366185650340554,1439.9302038084359,0.7961295652600091,1491.6274082586633,0.8113511601557415,[7.56564116 0.54349923 0.0928924  0.15836867],1502.036221527583,0.8122614420346949,[8.27750347 0.5541839  0.01750815 0.38209819]
SFHH graph,1800,1,0.5,1050.2696668725944,0.7744976679617008,965.9654795036826,0.7289535178770514,1144.5169536607284,0.7590844447254058,[4.89560628 0.69370432 0.22276386 0.17492207],1154.396581683499,0.7597994915740052,[5.99870678 0.7562154  0.17248058 0.18692037]
College graph 1,259200,0.5,0.5,1569.1172858318348,0.9093523624489734,1205.9860753664088,0.8815587487192248,1388.3788868587192,0.8821899390159456,[8.41024942e+00 4.22748201e-01 4.88706157e-02 1.65429439e-03],1401.2005028465069,0.8828289505419481,[7.20272419 0.37680021 0.03953379 0.12263044]
College graph 1,259200,0.1,0.5,1569.1172858318348,0.9093523624489734,1447.0820992572371,0.8728184452629529,1303.4999185114964,0.8782994497808029,[9.98946524 0.35167018 0.04359063 0.        ],1303.2379560810027,0.8770441957438864,[9.73430401 0.34240863 0.04256854 0.02271976]
Hypertext graph,600,0.5,0.125,57.812099271402545,0.7725040709410439,57.15762645161371,0.7516353502570959,67.0498032081255,0.760648368232625,[0.84618782 0.61100222 0.16524463 0.13581772],69.36202803213858,0.7618071462393389,[0.73102757 0.60757931 0.06365343 0.32490504]
Hypertext graph,600,0.1,0.125,57.812099271402545,0.7725040709410439,65.53224783246529,0.7363319750412053,61.966230125014384,0.7522082111062656,[0.62571209 0.65508721 0.18901031 0.07893506],63.38401895079832,0.7527288592097306,[0.54568821 0.63167665 0.07384806 0.27900879]
College graph 1,259200,0.5,0.25,1826.3053676717082,0.9298478922749596,1437.0467362145,0.9141309370321925,1492.1733839714175,0.894315431477542,[9.08775013 0.49416772 0.06699347 0.04878264],1498.114944850763,0.89445099823506,[8.72240152 0.49178387 0.05768059 0.09907072]
Hypertext graph,600,1,0.5,66.55629326047358,0.786832379898207,58.6477998729873,0.7662215166259587,77.93985434214741,0.7591714136866446,[1.01420878 0.62340712 0.17312573 0.10618005],95.12071143634076,0.7604155701562584,[0.90116432 0.61736943 0.08261461 0.28692408]
College graph 1,259200,0.1,0.25,1826.3053676717082,0.9298478922749596,1535.2871838586752,0.9100678397644466,1447.942260489528,0.8934244238316174,[9.93397897 0.51833306 0.06058244 0.04593701],1446.3752773040997,0.8938847674916335,[9.80183745 0.53229106 0.05589395 0.05035502]
SFHH graph,1800,1,0.25,1322.4696161827367,0.8151472934070146,1161.750097823249,0.7838535606711539,1377.4828245666188,0.8005602244735409,[7.01139349 0.63843123 0.15296166 0.15761031],1387.3620016847385,0.8026736751503717,[7.80842165 0.69760773 0.12054561 0.14816087]
SFHH graph,1800,3,0.5,1050.2696668725944,0.7744976679617008,1031.0063939704664,0.7586487653694269,1304.9518996664972,0.7692045558342897,[5.61920564 0.61745357 0.16623429 0.22197874],1421.0994187746767,0.7699867441336051,[6.96821789e+00 6.52620299e-01 6.95835883e-03 7.69977099e-01]
